Nazwa,ECTS,Tryb,Kryteria,kategorie
Przekaz digitalny,3.0,zdalnie,"•	ocena bieżącej aktywności studenta – realizowanych przez niego praktycznych ćwiczeń i zadań kursowych
•	2 testy wyboru sprawdzające przyswojenie zagadnień teoretycznych
•	końcowe, konwencjonalne (w realu lub w formie wideokonferencji) kolokwium z zakresu problemowego kursu",Inne
Kulturowa historia Bałkanów,5.0,w sali,"Przedmiot kończy się egzaminem ustnym; warunkiem dopuszczenia do egzaminu ustnego jest zaliczenie testu semestralnego po pierwszym semestrze oraz egzaminu pisemnego po drugim semestrze. Test zamknięty sprawdza wiedzę faktograficzną. Egzamin ustny sprawdza wiedzę, a przede wszystkim umiejętność interpretacji danych historycznych, znajomość głównych procesów społecznych oraz formowania się współczesnych kultur obszaru bałkańskiego.",Historia i archeologia
Kulturowa historia regionu: Czechy i Słowacja,5.0,,"Przebieg zajęć:
Treści wykładu prezentowane są w porządku chronologicznym i ilustrowane materiałami (audio)wizualnymi (zdjęciami, mapami, krótkimi filmami).  W wybranych momentach wykład może przyjmować formę dyskusji ze studentami/studentkami. 
Warunki zaliczenia:
Obecność na wykładzie nie będzie sprawdzana, jest jednak zalecana. Po pierwszym i drugim semestrze odbywa się test zaliczeniowy na ocenę (w formie testu wyboru: 40 pytań) z treści przekazanych w trakcie zajęć. Celem obydwu testów jest przygotowanie studentów/studentek do końcowego egzaminu ustnego z materiału całorocznego (warunkiem przystąpienia do egzaminu jest zaliczenie testów). W przypadku niezaliczenia jednego lub obu testów albo niezdania egzaminu student/ka ma możliwość ich poprawienia.
Ocena końcowa:
Ocena końcowa wystawiana jest na podstawie egzaminu ustnego. Na egzaminie student/ka losuje dwa pytania: jedno dotyczące treści przedstawionych na wykładzie w pierwszym semestrze, drugie - dotyczące treści przedstawionych w drugim semestrze (pod koniec drugiego semestru studenci/studentki otrzymują listę wszystkich pytań: dziesięciu z pierwszego oraz dziesięciu z drugiego semestru). Ocena końcowa stanowi średnią z ocen uzyskanych za obie odpowiedzi (aby zdać egzamin, student/ka musi otrzymać oceny pozytywne z obu odpowiedzi; otrzymanie oceny negatywnej za jedną z odpowiedzi skutkuje oceną negatywną z egzaminu). Ocena ta może zostać podwyższona, jeśli student/ka uzyskał/a wysokie oceny za testy semestralne.
Rozkład pracy studenta/studentki:
- obecność na zajęciach: 60 godzin = 1 ECTS
- przygotowanie się do testów zaliczeniowych: 30 godzin = 2 ECTS
- przygotowanie się do egzaminu ustnego: 30 godzin = 3 ECTS
Korzystanie ze sztucznej inteligencji:
Zasady wykorzystywania przez studentów/studentki narzędzi sztucznej inteligencji w procesie dydaktycznym określają zapisy § 3 i 4 uchwały nr 98 Uniwersyteckiej Rady ds. Kształcenia z dnia 8 grudnia 2023 roku. Studenci/studentki mogą korzystać z tych narzędzi podczas przygotowywania się do testów zaliczeniowych oraz egzaminu ustnego. W trakcie testów i egzaminu jest to zabronione.",Historia i archeologia
Lingwistyka kulturowa,4.0,,,Inne
Contemporary Theories of Masculinities,5.0,,"REQUIREMENTS:
NOTE: Students must complete all requirements listed below in order to receive a grade for the course. Attendance is mandatory with maximum 3 excused absences. If absent, students are expected to study on their own and/or consult their class colleagues for notes, assignments and/or contents.
1.     Active participation in class discussions – 40%
In discussions, students will showcase and discuss readings for individual sessions. They come to class prepared and with good knowledge of mandatory readings. This activity constitutes an integral part of the overall grade. In discussions, all participants use inclusive language and practice respect to create a safe learning environment.
2.     One short paper, 500-words in length – 20% each reaction paper (Date due: April 2, 2024) – Assignment will be made available in MST.
3.     Final paper – 40% (Due dates: May 26, June 9, June 23, 2025)
The final paper is an academic essay that critically analyzes a selected artifact, film, literary work, media representation, or cultural phenomenon through the lens of Masculinity Studies. The analysis should engage with key theoretical concepts from the course, such as hegemonic, complicit, or protest masculinities, and discuss intersections with feminist theories, gender studies, and broader sociocultural frameworks. Ideally, the paper should establish a critical argument about the role and construction of masculinities in contemporary societies. It is essential that the paper be analytical, not descriptive in its structure. The length should be 1,500 to 2,000 words (excluding bibliography). As an academic paper, it must include a properly formatted bibliography, use inter-textual/parenthetical references, and adhere to formal academic language. The paper is an individual assignment, not a group project. Any original approach or innovative topic is welcome and encouraged!",Inne
Między muzeum a ruiną. Jak działa dziedzictwo na Bałkanach?,3.0,w sali,"Ocenie podlegają:
- systematyczna praca podczas zajęć (znajomość treści tekstów zaproponowanych przez prowadzącą oraz aktywny udział w dyskusji w trakcie zajęć);
- przedstawienie w trakcie zajęć samodzielnie przygotowanej prezentacji na temat wybrany przez studenta/studentkę, który zostanie skonsultowany  z prowadzącą.
Student/studentka ma prawo do dwóch nieusprawiedliwionych nieobecności w semestrze, każda kolejna nieobecność musi być zaliczona w sposób wcześniej uzgodniony z prowadzącą. Nieobecność ogółem na więcej niż 50% zajęć wyklucza uzyskanie zaliczenia.
Szacowany rozkład pracy studenta:
- uczestnictwo w zajęciach: 30 h – 1 ECTS;
- regularne przygotowanie do zajęć: 30 h – 1 ECTS;
- przygotowanie autorskiej prezentacji (wybór tematu, selekcja źródeł, krytyczna ocena zgromadzonych informacji, opracowanie wyników analizy): 30 h – 1 ECTS
Łącznie: 3 ECTS
Zasady wykorzystania na zajęciach sztucznej inteligencji:
Sposób wykorzystania narzędzi sztucznej inteligencji w pracach pisemnych i prezentacjach zaliczeniowych określają zapisy § 3 i 4 uchwały nr 98 Uniwersyteckiej Rady ds. Kształcenia z dnia 8 grudnia 2023 roku. 
W związku z tym, że jedną z podstawowych umiejętności zdobywanych na kierunkach studiów organizowanych na Wydziale Polonistyki jest sprawne i profesjonalne posługiwanie się polszczyzną pisaną, a w szczególności stylem naukowym, zabrania się wykorzystywania systemów sztucznej inteligencji do przygotowania, korekty i redakcji tekstów. 
Jeśli student/studentka chce wykorzystać narzędzia sztucznej inteligencji podczas przygotowywania prezentacji, musi poinformować prowadzącą o sposobie i zakresie ich wykorzystania, uzasadnić celowość tego działania oraz uzyskać na nie zgodę.",Inne
Relacje międzykulturowe na Bałkanach,4.0,w sali,"Kluczowe jest przygotowanie do zajęć (lektura wskazanych tekstów / oglądanie emisji / zebranie materiałów) oraz aktywne uczestnictwo w zajęciach.
Podstawą oceny jest egzamin końcowy ustny; pytania egzaminacyjne udostępnione są z wyprzedzeniem.
Rozkład pracy studenta:
uczestniczenie w zajęciach: 30 h – 1 ECTS
praca własna studenta: 80 h – 3 ECTS
łącznie: 4 ECTS",Inne
Relacje międzykulturowe w regionie: Czechy i Słowacja,3.0,w sali,"Egzamin ustny.
Z uwagi na konwersatoryjny charakter przedmiotu na ocenę końcową z przedmiotu będzie się składała ocena z egzaminu (70%) oraz ocena z bieżącego przygotowania do zajęć, obejmującego lekturę wskazanych tekstów oraz aktywny udział w dyskusji podczas zajęć.
Student ma prawo do 2 nieusprawiedliwionych nieobecności w semestrze, każda kolejna nieobecność musi być zaliczona w sposób wcześniej uzgodniony z prowadzącym. Nieobecność ogółem na więcej niż 50 % zajęć wyklucza uzyskanie zaliczenia. Nieobecność nie zwalnia z obowiązku nadrobienia znajomości materiału.
Sposób wykorzystania narzędzi sztucznej inteligencji w pracach pisemnych i prezentacjach zaliczeniowych określają zapisy § 3 i 4 uchwały nr 98 Uniwersyteckiej Rady ds. Kształcenia z dnia 8 grudnia 2023 roku. W związku z tym, że jedną z podstawowych umiejętności zdobywanych na kierunkach studiów organizowanych na Wydziale Polonistyki jest sprawne i profesjonalne posługiwanie się polszczyzną pisaną, a w szczególności stylem naukowym, zabrania się wykorzystywania systemów sztucznej inteligencji do przygotowania, korekty i redakcji tekstów. Podobne zastrzeżenie dotyczy również innych języków słowiańskich, które są nauczane w Instytucie Slawistyki Zachodniej i Południowej. Studenci mogą posługiwać się narzędziami SI tylko w sytuacjach, w których prowadzący dopuszcza ich użycie i wyłącznie w konkretnie wskazanym przez prowadzącego zakresie.
Rozkład pracy studenta:
uczestniczenie w zajęciach: 30 h – 1 ECTS
praca własna studenta związana z bieżącym przygotowaniem do zajęć: 60 h – 2 ECTS
przygotowanie się do egzaminu: 30 h - 1ECTS 
Łącznie: 4 ECTS",Inne
Język staro-cerkiewno-słowiański (1),4.0,w sali,"Aktywność na zajęciach - 30%
Końcowa praca pisemna - 70%
Nieusprawiedliwione nieobecności (powyżej 2) winny zostać zaliczone w terminie uzgodnionym z prowadzącym zajęcia.
Sposób wykorzystania narzędzi sztucznej inteligencji w pracach pisemnych i prezentacjach zaliczeniowych określają zapisy § 3 i 4 uchwały nr 98 Uniwersyteckiej Rady ds. Kształcenia z dnia 8 grudnia 2023 roku. W związku z tym, że jedną z podstawowych umiejętności zdobywanych na kierunkach studiów organizowanych na Wydziale Polonistyki jest sprawne i profesjonalne posługiwanie się polszczyzną pisaną, a w szczególności stylem naukowym, zabrania się wykorzystywania systemów sztucznej inteligencji do przygotowywania, korekty i redakcji tekstów.
Punkty ECTS - łącznie 4, w tym:
 1 p. ECTS z tytułu uczestnictwa w zajęciach (30 godzin);
 3 p. ECTS z tytułu przygotowywania się do zajęć poza salą lekcyjną oraz wykonywania prac domowych (80 godzin)",Języki i kultury świata
Sztuka w kulturze Serbii,5.0,w sali,"Ocena końcowa wystawiana jest na podstawie 
a)	oceny aktywnego uczestnictwa w dyskusji, dowodzącego umiejętności zastosowania podstawowych narzędzi służących do analizy zjawisk artystycznych oraz znajomości literatury przedmiotu – 2,5 ECTS; 
b)	oceny bieżącego przygotowanie do zajęć (lektura wskazanych tekstów, realizacja zadań domowych związanych z analizą wybranych dzieł artystycznych) – 1,5 ECTS;
c)	zaliczenia testu końcowego na podstawie wiedzy pozyskanej na zajęciach oraz opracowanego samodzielnie przez studenta/tkę materiału źródłowego – 1 ECTS.
 Osoba studiująca ma prawo do dwóch usprawiedliwionych lub nieusprawiedliwionych nieobecności w każdym
semestrze. Nieobecności należy usprawiedliwiać u osoby prowadzącej. Osoba mająca powyżej dwóch nieobecności w semestrze musi
nadrobić je w sposób określony przez osobę prowadzącą. Jedynie osoby z przyznaną Indywidualną Organizacją Studiów na podstawie opinii BON mogą mieć zwiększony limit nieobecności, jednak nie więcej niż do 50% w każdym semestrze.
 Sposób wykorzystania narzędzi sztucznej inteligencji w pracach pisemnych i prezentacjach zaliczeniowych określają zapisy § 3 i 4
uchwały nr 98 Uniwersyteckiej Rady ds. Kształcenia z dnia 8 grudnia 2023 roku. W związku z tym, że jedną z podstawowych umiejętności
zdobywanych na kierunkach studiów organizowanych na Wydziale Polonistyki jest sprawne i profesjonalne posługiwanie się polszczyzną
pisaną, a w szczególności stylem naukowym, zabrania się wykorzystywania systemów sztucznej inteligencji do przygotowania, korekty i
redakcji tekstów. Analogiczne zastrzeżenie dotyczy języków słowiańskich, których osoby uczestniczące w zajęciach uczą się w Instytucie
Slawistyki Zachodniej i Południowej.",Inne
Sztuka w kulturze Słowenii,5.0,,"Ocena końcowa wystawiana jest na podstawie
a) oceny aktywnego uczestnictwa w dyskusji, dowodzącego umiejętności zastosowania podstawowych narzędzi służących do analizy zjawisk artystycznych oraz znajomości literatury przedmiotu;
b) oceny bieżącego przygotowanie do zajęć (lektura wskazanych tekstów i innych zadań domowych);
c) przygotowania prezentacji z zakresu tematyki konwersatorium wybranej samodzielnie lub wskazanej przez osobę prowadzącą zajęcia;
d) zaliczenia testu końcowego na podstawie wiedzy pozyskanej na zajęciach.
Sposób wykorzystania narzędzi sztucznej inteligencji w pracach pisemnych i prezentacjach zaliczeniowych określają zapisy § 3 i 4 uchwały nr 98 Uniwersyteckiej Rady ds. Kształcenia z dnia 8 grudnia 2023 roku.
Szacowany rozkład pracy studenta:
uczestniczenie w zajęciach: 60 h – 2 ECTS
praca własna studenta: 90 h – 3 ECTS
przygotowanie się do zaliczenia 30 h - 1 ECTS.
łącznie: 6 ECTS
Osoba studiująca ma prawo do dwóch nieusprawiedliwionych nieobecności w każdym semestrze.",Inne
Ad fontes - kurs łaciny dla średnio zaawansowanych,4.0,w sali,"-ciągła ocena bieżącego przygotowania do zajęć
-końcowy test zaliczeniowy 
Dopuszczalne są 2 nieusprawiedliwione nieobecności w semestrze.",Inne
Elementy kultury renesansu,2.0,w sali,Zaliczenie ustne 100%,Inne
Komunikacja praktyczna - actio rhetorica cz. 1,2.0,,"Oceniam aktywność na zajęciach, przygotowane wystąpienia, prezentacje improwizowane, otwartość i gotowość do ćwiczeń oraz retorycznych eksperymentów. Po zakończeniu warsztatów każdy student otrzymuje ocenę opisową (profil retoryczny w formie listu) z analizą swych atutów i braków oraz indywidualnymi ćwiczeniami.",Media i komunikacja
Literatura nowołacińska okresu renesansu,2.0,w sali,Egzamin końcowy,Języki i kultury świata
Podstawy starożytnej greki,4.0,w sali,,Inne
Rudimenta Latinitatis - kurs łaciny dla początkujących,4.0,w sali,"-bieżące przygotowanie do zajęć i aktywność (35%)
-śródsemestralne testy kontrolne z zakresu fleksji (30%)
-pisemne zaliczenie końcowe sprawdzające umiejętność poprawnego przekładu tekstu ciągłego o podstawowym stopniu trudności (35%).
Dozwolone są 2 nieusprawiedliwione nieobecności w semestrze.",Inne
Mitologiczne źródła fantastyki XX i XXI wieku,3.0,w sali,"Podstawę zaliczenia (stopnie: 3 - 4,5) stanowią frekwencja i aktywność na zajęciach.
1. Frekwencja (dopuszczalne dwie nieobecności w semestrze);
2. Aktywność podczas zajęć (ocenie podlegają: treść wypowiedzi, umiejętność pracy w grupie, umiejętność pracy indywidualnej, etyczność prowadzenia dialogu, umiejętność przekazywania informacji - również zwrotnych);
Aby uzyskać ocenę bardzo dobrą (5) lub celującą (5!), uczestniczki i uczestnicy powinny/i przygotować pracę pisemną w jednej z dwóch form do wyboru:
1. Szkic poświęcony wybranym zagadnieniom z zajęć;
2. Recenzję współczesnego dzieła: powieści fantastycznej ew. powieści grozy, zbioru opowiadań w omawianej stylistyce, filmu, spektaklu, gry - po konsultacji z prowadzącym.",Inne
Antropologia czasu wolnego (Leisure Worlds),6.0,,"Students are encouraged to take an active part in the classes by discussing the issues presented and read the suggested literature. The final grade will be granted on the basis of the two assignments.
Participation (20%): students should participate in classes and be active in discussions as well as during short in-class tasks.
Written Assignment (80%): fieldnotes of a leisure practice (incl. online leisure and recreation). The students’ task will be to observe (participate and observe) some leisure practice, produce fieldnotes of the practice and add a brief anthropological comment to the fieldnotes. The form: 6 pages in total (max.), incl. fieldnotes up to 4,5 pages and comment 1,5-2 pages. Standard format (Times New Roman or similar 12; 1,5 cm interline; 2,5 cm margins at all sides). 
Deadline for the Written Assignment: January 15, 2023 (submissions via email by 23.59 at the latest). Late submission will result in 0,5 points taken off the final grade.
A student who commits any form of plagiarism will fail the course.",Socjologia i antropologia
